pkg_name,targets,permissions,detected,sha
 com.home.recipes.food.drink,https://freegameshub.net,READ_CALENDAR;WRITE_CALENDAR;ACCESS_FINE_LOCATION;ACCESS_NETWORK_STATE;ACCESS_NOTIFICATION_POLICY;ACCESS_WIFI_STATE;BIND_APPWIDGET;BLUETOOTH;BLUETOOTH_ADMIN;CALL_PHONE;CHANGE_NETWORK_STATE;CHANGE_WIFI_STATE;EXPAND_STATUS_BAR;FOREGROUND_SERVICE;INTERNET;MODIFY_PHONE_STATE;QUERY_ALL_PACKAGES;READ_EXTERNAL_STORAGE;RECEIVE_BOOT_COMPLETED;REQUEST_DELETE_PACKAGES;SCHEDULE_EXACT_ALARM;com.android.alarm.permission.SET_ALARM;SET_WALLPAPER;SET_WALLPAPER_HINTS;SYSTEM_ALERT_WINDOW;VIBRATE;WRITE_EXTERNAL_STORAGE;WRITE_SETTINGS;com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE;com.google.android.apps.nexuslauncher.permission.QSB;com.wxyz.launcher3.email.permission.WRITE_SETTINGS;com.wxyz.launcher3.horoscope.permission.WRITE_SETTINGS;com.wxyz.launcher3.weather.permission.WRITE_SETTINGS;com.wxyz.launcher3.sports.permission.WRITE_SETTINGS;com.wxyz.launcher3.theme.permission.WRITE_SETTINGS;com.wxyz.launcher3.news.permission.WRITE_SETTINGS;com.wxyz.launcher3.bible.permission.WRITE_SETTINGS;com.wxyz.launcher3.email.permission.READ_SETTINGS;com.wxyz.launcher3.horoscope.permission.READ_SETTINGS;com.wxyz.launcher3.weather.permission.READ_SETTINGS;com.wxyz.launcher3.sports.permission.READ_SETTINGS;com.wxyz.launcher3.theme.permission.READ_SETTINGS;com.wxyz.launcher3.news.permission.READ_SETTINGS;com.wxyz.launcher3.bible.permission.READ_SETTINGS;app.cobo.launcher.permission.READ_SETTINGS;cn.nubia.launcher.permission.READ_SETTINGS;com.aliyun.homeshell.permission.READ_SETTINGS;com.alphalp.launcher.permission.READ_SETTINGS;com.anddoes.launcher.permission.READ_SETTINGS;com.android.hios.launcher3.permission.READ_SETTINGS;com.android.launcher.permission.READ_SETTINGS;com.android.launcher2.permission.READ_SETTINGS;com.android.launcher23.permission.READ_SETTINGS;com.android.launcher3.around.permission.READ_SETTINGS;com.android.launcher3.permission.READ_SETTINGS;com.android.lewalauncher.permission.READ_SETTINGS;com.android.mylauncher.permission.READ_SETTINGS;com.android.sprdlauncher1.permission.READ_SETTINGS;com.android.sprdlauncher2.permission.READ_SETTINGS;com.android.tpwlauncher2.permission.READ_SETTINGS;com.ape.launcher3.permission.READ_SETTINGS;com.asus.launcher3.permission.READ_SETTINGS;com.baoruan.launcher2.permission.READ_SETTINGS;com.bbk.launcher2.permission.READ_SETTINGS;com.blackberry.blackberrylauncher.permission.READ_SETTINGS;com.Dean.launcher.permission.READ_SETTINGS;com.dlto.atom.launcher.permission.READ_SETTINGS;com.ebproductions.android.launcher.permission.READ_SETTINGS;com.epic.launcher.tw.permission.READ_SETTINGS;com.fede.launcher.permission.READ_SETTINGS;com.fineos.launcher.permission.READ_SETTINGS;com.gau.go.launcherex.permission.READ_SETTINGS;com.gionee.launcher.permission.READ_SETTINGS;com.google.android.apps.nexuslauncher.permission.READ_SETTINGS;com.google.android.launcher.permission.READ_SETTINGS;com.hola.launcher.permission.READ_SETTINGS;com.htc.launcher.permission.READ_SETTINGS;com.huaqin.launcherEx.permission.READ_SETTINGS;com.huawei.android.launcher.permission.READ_SETTINGS;com.huawei.launcher.permission.READ_SETTINGS;com.huawei.launcher2.permission.READ_SETTINGS;com.huawei.launcher3.permission.READ_SETTINGS;com.ibingo.launcher.permission.READ_SETTINGS;com.iLoong.permission.READ_SETTINGS;com.infinix.xlauncher.permission.READ_SETTINGS;com.jui.launcher3.permission.READ_SETTINGS;com.konka.launcher2.permission.READ_SETTINGS;com.l.launcher.permission.READ_SETTINGS;com.lenovo.launcher.permission.READ_SETTINGS;com.lenovo.launcherhdmarket.permission.READ_SETTINGS;com.lewaos.launcher.permission.READ_SETTINGS;com.lge.launcher.permission.READ_SETTINGS;com.lge.launcher3.permission.READ_SETTINGS;com.lo.launcher.permission.READ_SETTINGS;com.lollipop.launcher.permission.READ_SETTINGS;com.meizu.flyme.launcher.permission.READ_SETTINGS;com.mgyun.permission.READ_SETTINGS;com.microsoft.launcher.permission.READ_SETTINGS;com.miui.mihome2.permission.READ_SETTINGS;com.modaco.android.launchergb.permission.READ_SETTINGS;com.motorola.launcher3.permission.READ_SETTINGS;com.mx.launcher.permission.READ_SETTINGS;com.mycheering.launcher.permission.READ_SETTINGS;com.nd.android.launcher.permission.READ_SETTINGS;com.nicelauncher.lolauncher.permission.READ_SETTINGS;com.oppo.grandmother.launcher.permission.READ_SETTINGS;com.oppo.launcher.permission.READ_SETTINGS;com.qihoo360.home.permission.READ_SETTINGS;com.qihoo360.launcher.permission.READ_SETTINGS;com.s.launcher.permission.READ_SETTINGS;com.samsung.android.launcher.permission.READ_SETTINGS;com.sec.android.app.launcher.permission.READ_SETTINGS;com.sec.android.app.twlauncher.READ_SETTINGS;com.sec.android.app.twlauncher.settings.READ_SETTINGS;com.simple.launcher.permission.READ_SETTINGS;com.slim.slimlauncher.permission.READ_SETTINGS;com.tencent.qqlauncher.permission.READ_SETTINGS;com.teslacoilsw.launcher.permission.READ_SETTINGS;com.tct.launcher.permission.READ_SETTINGS;com.transsion.hilauncher.permission.READ_SETTINGS;com.transsion.XOSLauncher.permission.READ_SETTINGS;com.tsf.shell.permission.READ_SETTINGS;com.tul.aviate.permission.READ_SETTINGS;com.yulong.android.launcherL.permission.READ_SETTINGS;com.zte.lqsoft.launcher.permission.READ_SETTINGS;com.zte.mifavor.launcher.permission.READ_SETTINGS;com.zte.mobile.ZteLauncher3D.permission.READ_SETTINGS;com.ztemt.launcher.permission.READ_SETTINGS;com.zui.launcher.permission.READ_SETTINGS;jp.kyocera.kyocerahome.launcher.permission.READ_SETTINGS;net.oneplus.launcher.permission.READ_SETTINGS;net.qihoo.launcher.permission.READ_SETTINGS;org.adw.launcher.permission.READ_SETTINGS;org.adw.launcher_donut.permission.READ_SETTINGS;org.adwfreak.launcher.permission.READ_SETTINGS;telecom.mdesk.permission.READ_SETTINGS;com.home.recipes.food.drink.permission.C2D_MESSAGE;POST_NOTIFICATIONS;com.google.android.c2dm.permission.RECEIVE;WAKE_LOCK;com.sec.android.provider.badge.permission.READ;com.sec.android.provider.badge.permission.WRITE;com.htc.launcher.permission.UPDATE_SHORTCUT;com.sonyericsson.home.permission.BROADCAST_BADGE;com.sonymobile.home.permission.PROVIDER_INSERT_BADGE;com.anddoes.launcher.permission.UPDATE_COUNT;com.majeur.launcher.permission.UPDATE_BADGE;com.huawei.android.launcher.permission.CHANGE_BADGE;com.huawei.android.launcher.permission.WRITE_SETTINGS;READ_APP_BADGE;com.oppo.launcher.permission.WRITE_SETTINGS;me.everything.badger.permission.BADGE_COUNT_READ;me.everything.badger.permission.BADGE_COUNT_WRITE;com.google.android.gms.permission.AD_ID;READ_LOGS;ACCESS_COARSE_LOCATION;com.adjust.preinstall.READ_PERMISSION,com.google.androidbrowserhelper.trusted;android.support.customtabs.trusted,029A456C1B06410569DF899A683C1DA481051064538F0DCF56D6AFC6FF679765
 flirty.chat,https://flirty.chat/,ACCESS_NETWORK_STATE;com.android.vending.BILLING;INTERNET;WRITE_EXTERNAL_STORAGE;REQUEST_INSTALL_PACKAGES;com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA;READ_EXTERNAL_STORAGE;flirty.chat.permission.C2D_MESSAGE;com.google.android.c2dm.permission.RECEIVE;WAKE_LOCK;VIBRATE;RECEIVE_BOOT_COMPLETED;com.sec.android.provider.badge.permission.READ;com.sec.android.provider.badge.permission.WRITE;com.htc.launcher.permission.READ_SETTINGS;com.htc.launcher.permission.UPDATE_SHORTCUT;com.sonyericsson.home.permission.BROADCAST_BADGE;com.sonymobile.home.permission.PROVIDER_INSERT_BADGE;com.anddoes.launcher.permission.UPDATE_COUNT;com.majeur.launcher.permission.UPDATE_BADGE;com.huawei.android.launcher.permission.CHANGE_BADGE;com.huawei.android.launcher.permission.READ_SETTINGS;com.huawei.android.launcher.permission.WRITE_SETTINGS;READ_APP_BADGE;com.oppo.launcher.permission.READ_SETTINGS;com.oppo.launcher.permission.WRITE_SETTINGS;me.everything.badger.permission.BADGE_COUNT_READ;me.everything.badger.permission.BADGE_COUNT_WRITE;com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.support.customtabs.trusted,113EF8DC8CC7F580A288BC608A1CFC216245B003859B4C01A97BF602352038FA
 com.snagajob.jobseeker,https://pwa.snagajob.com/search,,com.google.androidbrowserhelper.trusted;android.support.customtabs.trusted,1EC9763B0A8723C14158A591ABE0606C27742B37050ED51C8C725EC18D8E8E18
 com.xfinity.digitalhome,https://www.stg.xfinity.com,"INTERNET;READ_PHONE_STATE;CAMERA;ACCESS_NETWORK_STATE;WAKE_LOCK;ACCESS_COARSE_LOCATION;ACCESS_FINE_LOCATION;BLUETOOTH;BLUETOOTH_ADMIN;ACCESS_WIFI_STATE;com.google.android.c2dm.permission.RECEIVE;MODIFY_AUDIO_SETTINGS;WRITE_EXTERNAL_STORAGE;READ_EXTERNAL_STORAGE;RECORD_AUDIO;BLUETOTH_SCAN"" android:usesPermissionFlags=""neverForLocation;CHANGE_WIFI_STATE;USE_FINGERPRINT;FOREGROUND_SERVICE;VIBRATE;RECEIVE_BOOT_COMPLETED;ACCESS_BACKGROUND_LOCATION;WRITE_INTERNAL_STORAGE;REORDER_TASKS;USE_BIOMETRIC;com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE;CHANGE_NETWORK_STATE;USE_FULL_SCREEN_INTENT",com.google.androidbrowserhelper.trusted;android.support.customtabs.trusted,214A4FDEC60704AA9B0948D323B2FC10BDF3C9BB6F5D1CC346EC115ED07B6A84
 com.vpg,https://www.voyage-prive.com/?origin=TWA,,com.google.androidbrowserhelper.trusted;android.support.customtabs.trusted,28C307FE3419B245A2E7D6FDE338E46852D38AC512F61FC29201BBA9C86E181C
 pl.onet.onethd,https://www.onet.pl,INTERNET;RECEIVE_BOOT_COMPLETED;ACCESS_NETWORK_STATE;ACCESS_WIFI_STATE;CHANGE_WIFI_STATE;WAKE_LOCK;ACCESS_FINE_LOCATION;ACCESS_BACKGROUND_LOCATION;com.google.android.gms.permission.AD_ID,com.google.androidbrowserhelper.trusted;android.support.customtabs.trusted,2C68D2526D035D02ECA7F8CBF5CEB79DC5227A0D96FC4A14939F4D81AAC70254
 com.coderays.tamilcalendar,,CAMERA;ACCESS_COARSE_LOCATION;ACCESS_FINE_LOCATION;ACCESS_NOTIFICATION_POLICY;VIBRATE;READ_EXTERNAL_STORAGE;INTERNET;WAKE_LOCK;ACCESS_NETWORK_STATE;RECEIVE_BOOT_COMPLETED;FOREGROUND_SERVICE;com.coderays.tamilcalendar.permission.C2D_MESSAGE;com.google.android.c2dm.permission.RECEIVE;ACCESS_WIFI_STATE;com.google.android.gms.permission.AD_ID;com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE;com.android.vending.BILLING;SET_WALLPAPER;SET_WALLPAPER_HINTS,com.google.androidbrowserhelper.trusted,33C7200220FCA257EACF913A8A9EC897351718F65380C9A9A054A770753D4D57
 com.badoo.twa,https://badoo.com/?__twa=1,com.android.vending.BILLING;INTERNET;ACCESS_NETWORK_STATE;ACCESS_WIFI_STATE;READ_PHONE_STATE;com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.androidbrowserhelper.trusted;android.support.customtabs.trusted,3F151A6974EF47ED77040F584A7B56C769248729C47BFAA1AC3B8380A29210F5
 com.paytm.business,,INTERNET;ACCESS_NETWORK_STATE;ACCESS_WIFI_STATE;READ_PHONE_STATE;ACCESS_FINE_LOCATION;READ_EXTERNAL_STORAGE;WAKE_LOCK;CALL_PHONE;CAMERA;READ_CONTACTS;com.android.launcher.permission.INSTALL_SHORTCUT;USE_FULL_SCREEN_INTENT;QUERY_ALL_PACKAGES;ACCESS_COARSE_LOCATION;GET_ACCOUNTS;FLASHLIGHT;SEND_SMS;RECEIVE_SMS;READ_SMS;VIBRATE;BROADCAST_STICKY;ACCESS_GPS;ACCESS_LOCATION;net.one97.paytm.upi.provider.permission.READ_MODES;net.one97.paytm.upi.provider.permission.WRITE_MODES;RECEIVE_BOOT_COMPLETED;WRITE_CONTACTS;FOREGROUND_SERVICE;com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE;com.google.android.c2dm.permission.RECEIVE;USE_BIOMETRIC;USE_FINGERPRINT;com.google.android.gms.permission.AD_ID;CHANGE_WIFI_STATE,com.google.androidbrowserhelper.trusted,52DA3F8C2607F5B1C5046764E059719EE18725BF0B6FD36D7DAE77E1F14B9D39
 air.com.befunky.BeFunkyPhotoEditor,https://www.befunky.com/dashboard/#play-store-twa-v2,FOREGROUND_SERVICE;com.android.vending.BILLING,com.google.androidbrowserhelper.trusted;android.support.customtabs.trusted,5418955D335EBC13BFC67FCE6E6924EF7AA3DE9F12838C4E6CA19623C10F2654
 hu.webvalto.bkkfutar,https://realcity.io,INTERNET;ACCESS_NETWORK_STATE;ACCESS_FINE_LOCATION;com.google.android.providers.gsf.permission.READ_GSERVICES;READ_EXTERNAL_STORAGE;READ_PHONE_STATE;ACCESS_WIFI_STATE;HIGH_SAMPLING_RATE_SENSORS;VIBRATE;FOREGROUND_SERVICE;WAKE_LOCK;com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.support.customtabs.trusted,672E74929E9DF632FD3AEA3F5AAE0E47906772063FFC2DA798D6054E03CE2A51
 easy.to.read.kjv.bible,http://www.jamesedition.net,INTERNET;ACCESS_NETWORK_STATE;ACCESS_WIFI_STATE;com.google.android.c2dm.permission.RECEIVE;com.android.alarm.permission.SET_ALARM;RECEIVE_BOOT_COMPLETED;com.android.vending.BILLING;com.android.launcher.permission.INSTALL_SHORTCUT;FOREGROUND_SERVICE;com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE;easy.to.read.kjv.bible.permission.C2D_MESSAGE;VIBRATE;com.google.android.gms.permission.AD_ID;WAKE_LOCK,com.google.androidbrowserhelper.trusted;android.support.customtabs.trusted,6923D4A33ECCCA221194E9DD6A57EB992CD71832B69EC211E3FF4EAF6821455E
 com.pinterest.twa,https://www.pinterest.com/,INTERNET;WRITE_EXTERNAL_STORAGE;ACCESS_NETWORK_STATE;WAKE_LOCK;com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.androidbrowserhelper.trusted;android.support.customtabs.trusted,764B04B9CAF2F2C8A6208172E49628A909D7CD92FEF3A8931F43CD55B4C52D7A
